aalib 1.4rc5-13
accerciser 3.32.0-1
accountsservice 0.6.54+10+gd07621b-1
acl 2.2.53-1
acpi 1.7-2
acpi_call 1.1.0-202
acpica 20190329-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.32.0-1
alsa-lib 1.1.8-1
alsa-plugins 1.1.8-1
alsa-utils 1.1.8-1
amtk 5.0.0-1
aom 1.0.0-1
apache 2.4.38-1
appstream-glib 0.7.15-1
apr 1.6.5-1
apr-util 1.6.1-5
arc-dark-xfce4-terminal 1-2
arc-gtk-theme 20190330-1
arc-solid-gtk-theme 20190330-1
archlinux-keyring 20190123-2
argon2 20171227-3
aspell 0.60.7rc1-1
aspell-en 2018.04.16-1
at-spi2-atk 2.32.0-1
at-spi2-core 2.32.0-1
atk 2.32-1
atkmm 2.28.0-1
atomix 3.32.0-1
attr 2.4.48-1
audit 2.8.4-3
augeas 1.11.0-2
autoconf 2.69-5
autoconf-archive 1:2019.01.06-1
automake 1.16.1-1
avahi 0.7+18+g1b5f401-1
babl 0.1.62-1
baobab 3.32.0-1
bash 5.0.002-1
bc 1.07.1-3
betterlockscreen 3.0.1-4
bind-tools 9.13.7-1
binutils 2.31.1-4
bison 3.3.2-1
blas 3.8.0-2
bluez 5.50-6
bluez-libs 5.50-6
bluez-utils 5.50-6
bolt 0.7-2
boost-libs 1.69.0-1
brasero 3.12.2-2
bridge-utils 1.6-3
brltty 6.0-1
brother-hl-l8250cdn 1.1.2-2
brotli 1.0.7-1
btrfs-progs 4.20.2-1
bubblewrap 0.3.1-1
bzip2 1.0.6-8
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.43-1
ca-certificates-utils 20181109-1
cairo 1.16.0-2
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
ccid 1.4.30-2
cdparanoia 10.2-7
cdrdao 1.2.4-1
cdrtools 3.02a09-1
celt 0.11.3-3
celt0.5.1 0.5.1.3-4
ceph-libs 13.2.1-3
cheese 3.32.0+2+g5481726b-1
chromaprint 1.4.3-2
chromium 73.0.3683.86-1
cifs-utils 6.8-2
clang 8.0.0-3
clutter 1.26.2-2
clutter-gst 3.0.27-1
clutter-gtk 1.8.4-1
cmake 3.14.1-1
cogl 1.22.2+22+ge023a361-1
colord 1.4.4-1
colord-gtk 0.1.26+5+ga9d9c91-2
colord-sane 1.4.4-1
compiler-rt 8.0.0-1
compton 6.2-2
confuse 3.2.2-1
containerd 1.2.5-1
copyq 3.7.3-1
coreutils 8.31-1
cpio 2.12-4
cracklib 2.9.6-3
cryptsetup 2.1.0-1
ctags 1:r20181015+g45968eff-1
cups 2.2.11-1
cups-filters 1.22.3-1
cups-pk-helper 0.2.6-3
curl 7.64.1-2
db 5.3.28-4
dbus 1.12.12-1
dbus-glib 0.110-1
dconf 0.32.0-1
dconf-editor 3.32.0-1
desktop-file-utils 0.23+4+g92af410-1
devhelp 3.32.0-1
device-mapper 2.02.183-2
dfu-util 0.9-2
dhcpcd 7.0.8-1
dialog 1:1.3_20190211-1
diffutils 3.7-1
djvulibre 3.5.27-4
dleyna-connector-dbus 0.3.0-2
dleyna-core 0.6.0-2
dleyna-renderer 0.6.0-3
dleyna-server 0.6.0-2
dmraid 1.0.0.rc16.3-11
dnssec-anchors 20181003-1
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
docker 1:18.09.4-1
docker-compose 1.23.2-1
dosfstools 4.1-2
dotconf 1.3-5
double-conversion 3.1.4-1
dvd+rw-tools 7.1-8
e2fsprogs 1.45.0-1
earlyoom 1.2-2
efibootmgr 16-1
efivar 35-1
enchant 2.2.3-2
eog 3.32.0-1
epiphany 3.32.1.2-1
espeak 1:1.48.04-2
evince 3.32.0-1
evolution 3.32.0-1
evolution-data-server 3.32.0-1
evolution-ews 3.32.0-1
exempi 2.5.0-1
exiv2 0.26-2
expac 9-1
expat 2.2.6-1
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
fasd 1.0.1-2
feh 3.1.3-1
ffmpeg 1:4.1.2-2
fftw 3.3.8-1
file 5.36-1
file-roller 3.32.0-1
filesystem 2018.12-2
findutils 4.6.0-4
firefox 66.0.2-1
firefox-developer-edition 67.0b6-1
firefox-nightly 68.0a1.20190330-1
five-or-more 3.32.0-1
flac 1.3.2-2
flatpak 1.3.1-1
flex 2.6.4-2
folks 0.11.4+58+gdd7cb009-1
fontconfig 2:2.13.1+12+g5f5ec56-1
four-in-a-row 3.32.0-1
freerdp 1:2.0.0_rc4-3
freetype2 2.10.0-1
frei0r-plugins 1.6.1-7
fribidi 1.0.5-1
fuse-common 3.4.2-1
fuse2 2.9.9-1
fwupd 1.2.6-1
fzf 0.17.5-1
fzy 1.0-1
gamin 0.1.10-9
gavl 1.4.0-3
gawk 4.2.1-2
gc 7.6.8-1
gcab 1.2-1
gcc 8.2.1+20181127-1
gcc-libs 8.2.1+20181127-1
gconf 3.2.6+11+g07808097-4
gcr 3.28.1-1
gd 2.2.5-1
gdbm 1.18.1-2
gdk-pixbuf2 2.38.1-1
gdm 3.32.0+2+g820f90f5-1
gedit 3.32.0-2
gedit-code-assistance 3.16.0+4+gd19b879-1
gegl 0.4.14-1
geoclue 2.5.2-3
geocode-glib 3.26.1-1
geoip 1.6.12-1
geoip-database 20180403-1
geteltorito 0.6-1
gettext 0.19.8.1-3
gfbgraph 0.2.3+10+gbc03c1f-2
ghostscript 9.26-2
giflib 5.1.8-1
git 2.21.0-1
gjs 2:1.56.0-1
glade 3.22.1-2
glib-networking 2.60.0.1-1
glib2 2.60.0-1
glib2-docs 2.60.0-1
glibc 2.28-5
glibmm 2.60.0-1
glu 9.0.0-5
glusterfs 1:6.0-1
gmime3 3.2.3-3
gmp 6.1.2-2
gnome-autoar 0.2.3+1+g7347380-1
gnome-backgrounds 3.32.0-1
gnome-bluetooth 3.32.1-1
gnome-boxes 3.32.0.2-1
gnome-builder 3.32.0-2
gnome-calculator 3.32.0-1
gnome-calendar 3.32.0-2
gnome-characters 3.32.0-2
gnome-chess 3.32.0-1
gnome-clocks 3.32.0-2
gnome-code-assistance 3.16.1+14+gaad6437-1
gnome-color-manager 3.32.0-1
gnome-contacts 3.32-2
gnome-control-center 3.32.1-1
gnome-desktop 1:3.32.0-1
gnome-devel-docs 3.32.0-1
gnome-dictionary 3.26.1-1
gnome-disk-utility 3.32.0-1
gnome-documents 3.32.0-1
gnome-epub-thumbnailer 1.5-1
gnome-flashback 3.30.0-1
gnome-font-viewer 3.32.0-1
gnome-getting-started-docs 3.32.0-1
gnome-keyring 1:3.31.91-1
gnome-klotski 3.32.0-1
gnome-logs 3.32.0-1
gnome-mahjongg 3.32.0-1
gnome-maps 3.32.0-1
gnome-menus 3.32.0-1
gnome-mines 3.32.0-1
gnome-multi-writer 3.32.0-1
gnome-music 1:3.32.0-1
gnome-nettool 3.8.1+205+g8550eef-2
gnome-nibbles 3.24.1-1
gnome-online-accounts 3.32.0-1
gnome-online-miners 3.30.0+3+g8f891d9-1
gnome-panel 3.30.0-2
gnome-photos 3.32.0-1
gnome-power-manager 3.32.0-1
gnome-recipes 2.0.2-4
gnome-robots 3.32.0-1
gnome-screensaver 3.6.1-15
gnome-screenshot 3.32.0-1
gnome-session 3.32.0-1
gnome-settings-daemon 3.32.0-2
gnome-shell 1:3.32.0+20+g05e55cee2-1
gnome-shell-extension-activities-config 73-1
gnome-shell-extension-dash-to-dock 66-1
gnome-shell-extension-no-title-bar v9-1
gnome-shell-extension-vitals-git 34.r202.gdf4e7e5-1
gnome-shell-extensions 3.32.0-1
gnome-software 3.32.0-2
